id,upname,name,zipcode,department_id,region_id,longitude,latitude
1,OZAN,Ozan,01190,1,82,4.91667,46.3833
2,CORMORANCHE-SUR-SAONE,Cormoranche-sur-Saône,01290,1,82,4.83333,46.2333
3,PLAGNE,Plagne,01130,1,82,5.73333,46.1833
4,TOSSIAT,Tossiat,01250,1,82,5.31667,46.1333
5,POUILLAT,Pouillat,01250,1,82,5.43333,46.3333
6,TORCIEU,Torcieu,01230,1,82,5.4,45.9167
7,REPLONGES,Replonges,01620,1,82,4.88333,46.3
8,CORCELLES,Corcelles,01110,1,82,5.58333,46.0333
9,PERON,Péron,01630,1,82,5.93333,46.2
10,RELEVANT,Relevant,01990,1,82,4.95,46.0833
11,CHAVEYRIAT,Chaveyriat,01660,1,82,5.06667,46.1833
12,VAUX-EN-BUGEY,Vaux-en-Bugey,01150,1,82,5.35,45.9167
13,MAILLAT,Maillat,01430,1,82,5.55,46.1333
14,FARAMANS,Faramans,01800,1,82,5.11667,45.9
15,BEON,Béon,01350,1,82,5.75,45.8333
16,SAINT-BERNARD,Saint-Bernard,01600,1,82,4.73723,45.945
17,ROSSILLON,Rossillon,01510,1,82,5.6,45.8333
18,PONT-D'AIN,Pont-d'Ain,01160,1,82,5.33333,46.05
19,NANTUA,Nantua,01460,1,82,5.61667,46.15
20,CHAVANNES-SUR-REYSSOUZE,Chavannes-sur-Reyssouze,01190,1,82,5,46.4333
21,NEUVILLE-LES-DAMES,Neuville-les-Dames,01400,1,82,5,46.1667
22,FLAXIEU,Flaxieu,01350,1,82,5.73333,45.8167
23,HOTONNES,Hotonnes,01260,1,82,5.68333,46
24,SAINT-SORLIN-EN-BUGEY,Saint-Sorlin-en-Bugey,01150,1,82,5.36667,45.8833
25,SONGIEU,Songieu,01260,1,82,5.7,45.9667
26,VIRIEU-LE-PETIT,Virieu-le-Petit,01260,1,82,5.71667,45.9
27,SAINT-DENIS-EN-BUGEY,Saint-Denis-en-Bugey,01500,1,82,5.33333,45.95
28,CHARNOZ-SUR-AIN,Charnoz-sur-Ain,01800,1,82,5.21667,45.8667
29,CHAZEY-SUR-AIN,Chazey-sur-Ain,01150,1,82,5.25,45.9
30,MARCHAMP,Marchamp,01680,1,82,5.55,45.7833
31,CULOZ,Culoz,01350,1,82,5.78333,45.85
32,MANTENAY-MONTLIN,Mantenay-Montlin,01560,1,82,5.08333,46.4167
33,MARBOZ,Marboz,01851,1,82,5.25,46.3333
34,FOISSIAT,Foissiat,01340,1,82,5.18333,46.3667
35,TREFFORT-CUISIAT,Treffort-Cuisiat,01370,1,82,5.36834,46.2714
36,IZIEU,Izieu,01300,1,82,5.63333,45.65
37,SAINT-ETIENNE-DU-BOIS,Saint-Étienne-du-Bois,01370,1,82,5.28333,46.2833
38,HAUTEVILLE-LOMPNES,Hauteville-Lompnes,01110,1,82,5.6,45.9667
39,SAINT-TRIVIER-SUR-MOIGNANS,Saint-Trivier-sur-Moignans,01990,1,82,4.9,46.0667
40,PEYRIAT,Peyriat,01430,1,82,5.51667,46.15
41,EVOSGES,Évosges,01230,1,82,5.5,45.9583
42,PONCIN,Poncin,01450,1,82,5.4,46.0833
43,CRANS,Crans,01320,1,82,5.21667,45.9667
44,MONTREAL-LA-CLUSE,Montréal-la-Cluse,01460,1,82,5.57084,46.1867
45,CLEYZIEU,Cleyzieu,01230,1,82,5.43333,45.9
46,LOMPNIEU,Lompnieu,01260,1,82,5.65,45.9667
47,VILLEREVERSURE,Villereversure,01250,1,82,5.38333,46.1833
48,SAINT-MARTIN-DU-MONT,Saint-Martin-du-Mont,01160,1,82,5.33333,46.1
49,SAINT-GENIS-POUILLY,Saint-Genis-Pouilly,01630,1,82,6.01667,46.25
50,BOLOZON,Bolozon,01450,1,82,5.48333,46.2
51,CONFRANCON,Confrançon,01310,1,82,5.06667,46.2667
52,LOCHIEU,Lochieu,01260,1,82,5.71667,45.9333
53,CHANOZ-CHATENAY,Chanoz-Châtenay,01400,1,82,5.03333,46.1833
54,VILLEBOIS,Villebois,01150,1,82,5.43333,45.85
55,CEIGNES,Ceignes,01430,1,82,5.5,46.1167
56,SAINT-DIDIER-SUR-CHALARONNE,Saint-Didier-sur-Chalaronne,01140,1,82,4.81667,46.1667
57,REVONNAS,Revonnas,01250,1,82,5.33333,46.1667
58,BOURG-SAINT-CHRISTOPHE,Bourg-Saint-Christophe,01800,1,82,5.16667,45.8833
59,CONDEISSIAT,Condeissiat,01400,1,82,5.08333,46.1667
60,PIRAJOUX,Pirajoux,01270,1,82,5.3,46.3833
61,CHALAMONT,Chalamont,01320,1,82,5.16667,46
62,LE PLANTAY,Plantay,01330,1,82,5.08333,46.0167
63,VERSAILLEUX,Versailleux,01330,1,82,5.1,45.9833
64,MONTAGNAT,Montagnat,01250,1,82,5.28333,46.1667
65,VIEU,Vieu,01260,1,82,5.68333,45.9
66,SAINT-ANDRE-DE-CORCY,Saint-André-de-Corcy,01390,1,82,4.95,45.9167
